sample	tp53_mutation_status
CPCT02010958T	0
CPCT02010963T	0
CPCT02010963TII	0
CPCT02010965T	0
CPCT02010966T	0
CPCT02010966TII	0
CPCT02010967T	0
CPCT02010969T	0
CPCT02010971T	0
CPCT02010972T	0
CPCT02010973T	0
CPCT02010976T	0
CPCT02010977T	0
CPCT02010978T	0
CPCT02010979T	0
CPCT02010980T	0
CPCT02010981T	0
CPCT02010982T	0
CPCT02010984T	0
CPCT02010985T	0
CPCT02010986T	0
CPCT02010988T	0
CPCT02010989T	0
CPCT02010990T	0
CPCT02010993T	0
CPCT02010993TII	0
CPCT02010994T	0
CPCT02010995T	0
CPCT02010998T	0
CPCT02011000T	0
CPCT02011001T	0
CPCT02011002T	0
CPCT02011003T	0
CPCT02011004T	0
CPCT02011005T	0
CPCT02011006T	0
CPCT02011008T	0
CPCT02011009T	0
CPCT02011010T	0
CPCT02011011T	0
CPCT02011012T	0
CPCT02011013T	0
CPCT02011015T	0
CPCT02011017T	0
CPCT02011018T	0
CPCT02011019T	0
CPCT02011020T	0
CPCT02011021T	0
CPCT02011022T	0
CPCT02011025T	0
CPCT02011028T	0
CPCT02011029T	0
CPCT02011031T	0
CPCT02011032T	0
CPCT02011035T	0
CPCT02011036T	0
CPCT02011037T	0
CPCT02011038T	0
CPCT02011040T	0
CPCT02011040TII	0
CPCT02011042T	0
CPCT02011043T	0
CPCT02011044T	0
CPCT02011045T	0
CPCT02011045TII	0
CPCT02011046T	0
CPCT02011047T	0
CPCT02011050T	0
CPCT02011051T	0
CPCT02011052T	0
CPCT02011053T	0
CPCT02011055T	0
CPCT02011056T	0
CPCT02011057T	0
CPCT02011058T	0
CPCT02011059T	0
CPCT02011065T	0
CPCT02011067T	0
CPCT02011068T	0
CPCT02011069T	0
CPCT02011070T	0
CPCT02011071T	0
CPCT02011072T	0
CPCT02011073T	0
CPCT02011074T	0
CPCT02011077T	0
CPCT02011079T	0
CPCT02011080T	0
CPCT02011082T	0
CPCT02011086T	0
CPCT02011087T	0
CPCT02011088T	0
CPCT02011089T	0
CPCT02011089TII	0
CPCT02011090T	0
CPCT02011093T	0
CPCT02011094T	0
CPCT02011097T	0
CPCT02011098T	0
CPCT02011102T	0
CPCT02011105T	0
CPCT02011106T	0
CPCT02011107T	0
CPCT02011108T	0
CPCT02020105T	0
CPCT02020160TIII	0
CPCT02020171T	0
CPCT02020185T	0
CPCT02020186T	0
CPCT02020186TII	0
CPCT02020191T	0
CPCT02020192T	0
CPCT02020194T	0
CPCT02020195T	0
CPCT02020197T	0
CPCT02020202T	0
CPCT02020203T	0
CPCT02020207T	0
CPCT02020210T	0
CPCT02020212T	0
CPCT02020213T	0
CPCT02020215T	0
CPCT02020217T	0
CPCT02020218T	0
CPCT02020219T	0
CPCT02020223TII	0
CPCT02020224TII	0
CPCT02020231T	0
CPCT02020232TII	0
CPCT02020234T	0
CPCT02020236T	0
CPCT02020238T	0
CPCT02020239T	0
CPCT02020240T	0
CPCT02020243T	0
CPCT02020245T	0
CPCT02020245TII	0
CPCT02020245TIII	0
CPCT02020246T	0
CPCT02020247T	0
